functions,key steps,requirement,potential failure mode,potential effect(s) of failure,sev,class,diversity,potential cause(s) of failure,current design - controls prevention,current design occur,current design -controls detection,current design - detection,rpn,recommended action,responsibility &target completion date,action results - action taken&  completion date,action results - sev,action results - occur,action results -detec,action results - rpn,quality gate,remarks,iqf number
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,,over tightened,"1. screw broken
2. primery function can lose",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,fasteners,,over tightened,"1.screw broken
",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,5.0,80.0,available,,
ens rr seat,rr seat back rest,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat back rest,completely fixing of rr seat back rest,partial fixing with biw hook,"1.creep noise
2.part fall down
3.poor aesthtic (uneven gap)",4,,,operator not follow the work instruction(not ensure the click sound),operator training( ensure the click sound),3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
steering column lwr half-sheaft,strg col lwr,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
steering column lwr half-sheaft,strg col lwr,completely fixing of strg col lwr,partial fixing of strg col lwr,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
3.part falldown",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
steering column lwr half-sheaft,front mounting screw,proper fixing of strg col lwr screw,loose fitment ,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
3.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,front mounting screw,,over tightened,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap and flush)
3.screw broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,bottom mounting screw,proper fixing of strg col lwr screw,partial fitment ,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,bottom mounting screw,,over tightened,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap and flush)
3.screw broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,strg col lwr,correct selection of part,not applicable,nil,5,,no,nil,no diversity,1.0,no diversity,1.0,5.0,,,,,,,,,,154.0
steering column lwr half-sheaft,strg col lwr,completely fixing of strg col lwr,partial fixing of strg col lwr,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
3.part falldown",4,,,operator not follow the work instruction( ensure the click sound),operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
steering column lwr half-sheaft,front mounting screw,proper fixing of strg col lwr screw,loose fitment ,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
3.part falldown",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,front mounting screw,,over tightened,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap and flush)
3.screw broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,bottom mounting screw,proper fixing of strg col lwr screw,partial fitment ,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap)
",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
steering column lwr half-sheaft,bottom mounting screw,,over tightened,"1.rubbing noise with strg wheel
2. poor aesthitic ( more gap and flush)
3.screw broken",6,,,"operator choose wrong tool
","1. select the right tool based on the master check sheet
",3.0,visual inspection,8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,6.0,3.0,5.0,90.0,,,
4-way grommet,,,,,,,,,,,,,60.0,,,,,,,,,,
lh b pillar lower trim ens,fr plr trim,correct selection of part,not applicable,nil,6,,no,nil,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
lh b pillar lower trim ens,fr plr trim,completely fixing of fr pillar ,partially fitted with panel,"1.clip broken
2.part fall down
3.poor aesthtic",4,,,operator not follow the work instruction( ensure the click sound),operator training and click sound,3.0,visual inspection,8.0,96.0,,,,,,,,,,
hex flg nut m8 x 125 st8 zinc-alu flake,,,,,,,,,,,,,60.0,,,,,,,,,,
hex flg nut m8 x 125 st8 zinc-alu flake,,,,,,,,,,,,,60.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens lh frt seat,fr seat,correct selection of part,wrong selection,"1,variant mismatch.",6,,yes,identification mark not available,select the right part,3.0,visual inspection,7.0,126.0,identification mark provided in part,design team (ramachandran; manoranjan) vrs1,,6.0,4.0,4.0,96.0,,,154.0
ens lh frt seat,fr seat,comletely fixing of fr seat,partial fixing of fr seat,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator not follow the work instruction (ensure to hear click sound),".operator training
",3.0,"1.visual inspection
",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fr seat,completely fixing of fr buckle connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fr seat,proper fix of odc connector,partial fitment ,functional failure and rattle noise,9,er4,,operator not follow the work instruction (ensure to hear click sound),"1.operator training
2.ensure with click sound",3.0,"1.visual inspection
2.secondary verification with paint mark
3. push and pull test",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,,,
ens lh frt seat,fasteners,proper fixing of fr seat bolt,partial fitment ,"1. abnormal track movement
2.irregular seat recliner lock
3. creek noise
4.fastener damage",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,3.0,4.0,96.0,available,,
ens lh frt seat,fasteners,,over tightened,"1.fastener broken
2.abnormal track movement",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",3.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,216.0,quality process sheet,industrialization team (suresh/arunkumar) & wk-38,,8.0,3.0,4.0,96.0,available,,
guide bracket steering column,,,,,,,,,,,,,60.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,front interior lamp,correct selection of part,wrong selection,variant mismatch.,4,,yes,identification mark not available,select the right part based on the part identification sheet,3.0,visual inspection,8.0,96.0,part identification sheet displayed in station,industrial team (suresh; arun kumar) & vrs 1.3,16/7/2021,4.0,3.0,6.0,72.0,pi_tr-0012,,154.0
lamp roof frt,harness connector, completely fix the harness connector,partially fix the harness connector,functional failure,4,,,operator not follow the work instruction,"1.operator training
2.ensure connector click sound",3.0,visual inspection,8.0,96.0,,,,,,,,,,
lamp roof frt,harness connector, completely fix the interior lamp,partially fix the interior lamp,"1.part fall down
2.poor asthetic issue due to improper fitment",4,,,operator not follow the work instruction,1.operator training,3.0,visual inspection,8.0,96.0,,,,,,,,,,
ens rr seat,rr seat cushion,correct selection of part,wrong selection,"1,variant mismatch.",6,,,identification mark not available,no diversity,1.0,no diversity,1.0,6.0,,,,,,,,,,154.0
ens rr seat,rr seat cushion,completely fixing of rr seat cushion,partial fixing of rr seat cushion,"1.wrinkle and sagging
2.poor aesthetic ( uneven gap between seat and qtr pillar)",6,,,operator not follow the work instruction,operator training,3.0,visual inspection,8.0,144.0,before instalation part to be checked,manufacturing team (balachandar; anoop kumar) & vrs 1.3,12/6/2021 0:00,8.0,3.0,4.0,96.0,,,
ens rr seat,fasteners,completely fixing of rr seat cushion fasteners,loose fitment ,"1.more vibration and creates rattle noise 
2.poor aesthetic ( uneven gap between seat and qtr pillar)",9,er4,,operator choose wrong tool,"1. select the right tool
2. primary verification- shut-off gun",2.0,"1. using torque wrench after fastening
2. secondary verification with paint marking",8.0,144.0,stick the tool id / calibration details on the tool,industrialization team (suresh/arunkumar) & vrs 1.3,5/8/2021 0:00,8.0,2.0,3.0,48.0,available,,
